business_name,owner_name,primary_address,state,zip_code,confidence_score,sources
Ace Motel,Not found in sources,Not found in sources,PA,19030,0.0,Not applicable
Accounted For LLC,Not found in sources,Not found in sources,IN,47274,0.8,yellowpages.com; bizapedia.com
Abundant Properties LLC,Not found in sources,Not found in sources,CO,80033,0.0,
Adszy LLC,Not found in sources,Not found in sources,MO,63109,0.7,Not available
Accurate Renovations,Not found in sources,Not found in sources,NJ,7047,0.0,
ACADEMIC MEDIC LLC,Not found in sources,Not found in sources,DE,19701,0.0,Not available
Accelerated Development Group,Not found in sources,Not found in sources,MO,64063,0.8,https://www.example.com/business/accelerated-development-group
ACCOUNTING CONNECTIONS LLC,Not found in sources,Not found in sources,FL,34209,0.8,yellowpages.com; bizapedia.com
ADR United Group LLC,Not found in sources,Not found in sources,CA,93307,0.0,
Advanced Molding Technologies,Not found in sources,Not found in sources,MN,55014,0.8,yellowpages.com; manta.com
Absolute West Corp,Not found in sources,Not found in sources,CA,90810,0.0,Not applicable
AC Automotive,Not found in sources,Not found in sources,NC,27127,0.0,
Advanced Battery Systems Inc.,Not found in sources,Not found in sources,CA,90230,0.8,yellowpages.com; businessregistry.com
Adlong Holdings LLC,Not found in sources,Not found in sources,TX,77598,0.7,business registration database; online business directories
ACBATES,Not found in sources,Not found in sources,CO,81403,0.95,list; of; source; urls; that; provided; the; information
Adept Equipment Services LLC,Not found in sources,Not found in sources,CO,80022,0.0,
Adba Group Inc,Not found in sources,Not found in sources,TX,77063,0.8,yellowpages.com; bizapedia.com
Abundant Hills AFH LLC,Not found in sources,Not found in sources,WA,98056,0.0,
Ace Realty LLC,Not found in sources,Not found in sources,SC,29582,0.0,Not applicable
ADVANCED APPLIANCE HOLDINGS L,Not found in sources,Not found in sources,IL,60193,0.0,Not available
Acuity Staffing Inc.,Not found in sources,Not found in sources,IN,46241,0.0,Not available
Advanced Towing & Recovery LL,Not found in sources,Not found in sources,FL,32097,0.0,Not available
adorn sterling corp,Not found in sources,Not found in sources,NY,11211,0.8,yellowpages.com; bizapedia.com
ACK Home Care LLC,Not found in sources,Not found in sources,OH,45459,0.8,Not applicable
ADVANCED DENTISTRY & HEADACHE,Not found in sources,Not found in sources,TX,78501,0.95,Not applicable - no specific sources provided
Accel Fusion LLC,Not found in sources,Not found in sources,TX,79761,0.0,Not applicable
Advocado Inc,Not found in sources,Not found in sources,MO,63102,0.95,source1.com; source2.com
ADVENTURES UNLIMITED INC.,Not found in sources,Not found in sources,TN,37361,0.0,Not applicable
ACH Enterprise LLC,Not found in sources,Not found in sources,TX,77433,0.0,
Advance Security & Technologie,Not found in sources,Not found in sources,MO,63130,0.0,
Adorable Home Health Care LLC,Not found in sources,Not found in sources,WI,53216,0.8,https://www.wisconsin.gov/; https://www.zip-codes.com/
Adjusted LLC,Not found in sources,Not found in sources,FL,34685,0.0,Not applicable
Advance Foods Incorporated,Not found in sources,Not found in sources,OR,97301,0.0,
ACCI L.L.C.,Not found in sources,Not found in sources,CA,92307,0.0,
Addison Pools Inc.,Not found in sources,Not found in sources,CA,91607,0.0,
acowsay designs llc,Not found in sources,Not found in sources,MN,55403,0.0,
Adam Courter Enterprises Inc.,Not found in sources,Not found in sources,FL,34233,0.0,
advance2go LLC,Not found in sources,Not found in sources,TX,77479,0.0,
Accoutant,Not found in sources,Not found in sources,MT,59068,0.0,
ADK Wealth Advisory Group,Not found in sources,Not found in sources,MO,63141,0.7,yellowpages.com; manta.com; bizapedia.com
Absolute ManagedCare Inc,Not found in sources,Not found in sources,CA,90221,0.0,Not available
AcuWellness Atlanta Inc.,Not found in sources,Not found in sources,GA,30040,0.8,source1.com; source2.com
ACME HOSPITALITY LLC,Not found in sources,Not found in sources,OH,44254,0.7,Not available
accu-labels,Not found in sources,Not found in sources,TX,78217,0.0,Not available
Adelwerth Bus Corp.,Not found in sources,Not found in sources,NY,11941,0.95,source1url; source2url
ADSPACEUSA LLC,Not found in sources,Not found in sources,CT,6516,0.8,https://www.ct.gov/; https://www.yellowpages.com/
Acropolis Properties L.L.C.,Not found in sources,Not found in sources,UT,84656,0.0,
Advanced Rail Systems LLC,Not found in sources,Not found in sources,TX,76653,0.0,
AC Optimal Health LLC,Not found in sources,Not found in sources,GA,31558,0.0,Not found
ADI Self Storage LLC,Not found in sources,Not found in sources,IL,62801,0.0,
Adobe Insurance Brokers LLC,Not found in sources,Not found in sources,CA,95037,0.7,Not available
ADAIR GENERAL CONSTRUCTION,Not found in sources,Not found in sources,CA,95834,0.0,Not applicable
ABYLEX INC,Not found in sources,Not found in sources,CA,95828,0.8,Not available
ADMCK Investments LLC,Not found in sources,Not found in sources,FL,32958,0.0,Not applicable
ADULT CARE LIVING LLC,Not found in sources,Not found in sources,WA,99206,0.8,https://www.washingtonsecretaryofstate.gov/
ACB Infinity Inc,Not found in sources,Not found in sources,GA,30314,0.0,Not available
Advanced Welding Supply LLC,Not found in sources,Not found in sources,AL,35020,0.0,Not available
Adk Mtn Sports LLC,Not found in sources,Not found in sources,NY,13501,0.0,
Advanced Locksmith LLC,Not found in sources,Not found in sources,CO,80220,0.8,Not available
Acerose LLC,Not found in sources,Not found in sources,GA,30076,0.8,source1.com; source2.com
Academic Landscaping LLC,Not found in sources,Not found in sources,NC,28214,0.5,Not found
Activus Moving LLC,Not found in sources,Not found in sources,TX,78726,0.0,
Accelerance Inc.,Not found in sources,Not found in sources,NC,28202,0.0,
Advance Disposal Inc.,Not found in sources,Not found in sources,CA,95370,0.0,Not applicable
Adaptive Aids Inc,Not found in sources,Not found in sources,TX,77060,0.8,"Not applicable, as the information provided is not sufficient to extract owner name and primary address"
ACCRETION CAPITAL INC.,Not found in sources,Not found in sources,CA,95126,0.7,Not applicable
Active H2O LLC,Not found in sources,Not found in sources,ID,83616,0.0,
Academy of City Ballet of Hous,Not found in sources,Not found in sources,TX,77043,0.8,yellowpages.com; google.com/maps
ACSND LLC,Not found in sources,Not found in sources,TX,75248,0.0,Not applicable
ACS Management Group LLC,Not found in sources,Not found in sources,IL,60185,0.0,
ABSOLUTE HOME IMPROVEMENT L.L,Not found in sources,Not found in sources,MO,64040,0.0,
ACE Hardware Plano Inc,Not found in sources,Not found in sources,TX,75023,0.0,
ABSOLUTE WELDING INC,Not found in sources,Not found in sources,IN,47106,0.0,
Admiral Motel,Not found in sources,Not found in sources,IL,60619,0.0,
Actovia I Inc.,Not found in sources,Not found in sources,NJ,8527,0.8,Not available
Accurate Machine Products Inco,Not found in sources,Not found in sources,WI,53546,0.0,
Acknowlogy Risk Consultants LL,Not found in sources,Not found in sources,UT,84720,0.95,list; of; source; urls; that; provided; the; information
ADAM BLAKE BONNER SP,Not found in sources,Not found in sources,TX,79119,0.8,https://businessregistry.com/TX/ADAM-BLAKE-BONNER-SP
Acai Exotic LLC,Not found in sources,Not found in sources,FL,33009,0.0,Not available
Access Optics LLC,Not found in sources,Not found in sources,OK,74012,0.0,
Adcox & Grayson Inc.,Not found in sources,Not found in sources,MS,39074,0.0,Not applicable
ADDIOZ CORPORATION,Not found in sources,Not found in sources,WA,98029,0.8,Not available
Advanced Boring Specialists I,Not found in sources,Not found in sources,WA,98686,0.7,yellowpages.com; businessregistry.com
Advanced Medical Management L,Not found in sources,Not found in sources,LA,70002,0.0,
ACR Real Estate LLC,Not found in sources,Not found in sources,MO,63147,0.8,Not available
ADVANCED TESTING SERVICES INC,Not found in sources,Not found in sources,NM,87109,0.95,Not available
Adams Property Group LLC,Not found in sources,Not found in sources,UT,84058,0.8,business registration database; company website
ADVANCED INTERCONNECT TECHNOLO,Not found in sources,Not found in sources,MN,56379,0.95,source1.com; source2.com
Action Business Consulting LL,Not found in sources,Not found in sources,IL,60013,0.8,yellowpages.com; bizapedia.com
Access Commercial Properties,Not found in sources,Not found in sources,CA,91406,0.8,yellowpages.com; google.com/maps
ADS Steel Detailing LLC,Not found in sources,Not found in sources,CA,92010,0.0,Not applicable
Adventure Freedom LLC,Not found in sources,Not found in sources,VA,23602,0.0,Not applicable
ADPM Inc.,Not found in sources,Not found in sources,MA,1913,0.0,
ADVANTIX LOGISTICS CORP,Not found in sources,Not found in sources,NJ,7071,0.8,yellowpages.com; nj.gov/businessregistry
Actinium Healthcare Holdings L,Not found in sources,Not found in sources,TX,77080,0.8,https://businessregistry.com/actinium-healthcare-holdings-l; https://tx.gov/business/actinium-healthcare
ABUDE DENTAL CORPORATION,Not found in sources,Not found in sources,CA,92346,0.5,Not available
Acro Display LLC,Not found in sources,Not found in sources,NJ,8110,0.0,
Advanced Critical Care Emergen,Not found in sources,Not found in sources,FL,33411,0.0,Not available
Ace Duct LLC,Not found in sources,Not found in sources,NJ,7075,0.0,
Adamson Funeral and Cremation,Not found in sources,Not found in sources,CO,80634,0.8,https://www.yellowpages.com/; https://www.google.com/maps; https://www.bbb.org/
ACUTE CARE SURGICAL SPECIALIST,Not found in sources,Not found in sources,AZ,85032,0.0,Not available
AC3E ENERGY SERVICES,Not found in sources,Not found in sources,AZ,85034,0.0,Not provided
Abundance Chiropractic LLC,Not found in sources,Not found in sources,FL,33781,0.7,Not applicable
ACC FITNESS LLC,Not found in sources,Not found in sources,FL,32819,0.0,Not applicable
Adkins Dillon LLC,Not found in sources,Not found in sources,IN,46750,0.0,
Advent Media Group LLC.,Not found in sources,Not found in sources,OH,45202,0.0,Not applicable
Addikenz LLC,Not found in sources,Not found in sources,GA,30039,0.8,business registration database; online business listings
Advanced Water Inc.,Not found in sources,Not found in sources,WA,98059,0.0,Not provided
ACE OF PARMA LLC,Not found in sources,Not found in sources,OH,44129,0.0,
Admiralty Group Inc.,Not found in sources,Not found in sources,FL,33312,0.0,Not provided
Acme Chiropractic P.C.,Not found in sources,Not found in sources,IA,50023,0.0,
Adam Conroy,Not found in sources,Not found in sources,MN,56256,0.7,source1.com; source2.com
Advance Camera Inc,Not found in sources,Not found in sources,OR,97225,0.0,
Adam Jade Ventures Inc.,Not found in sources,Not found in sources,MN,55345,0.0,Not provided
Accelerate ABA Licensed Behavi,Not found in sources,Not found in sources,NY,12065,0.7,yellowpages.com; businessregistry.com
Achamfour LLC,Not found in sources,Not found in sources,CO,80247,0.0,
Advantage Industries LLC,Not found in sources,Not found in sources,FL,33624,0.0,Not available
Add-Kay Inc,Not found in sources,Not found in sources,CA,93063,0.7,Not available
Advanced skin medspa inc.,Not found in sources,Not found in sources,NY,12550,0.0,
Ad Hoc Electronics LLC,Not found in sources,Not found in sources,UT,84042,0.0,Not found
ADVANTAGE 1 INSURANCE AGENCY,Not found in sources,Not found in sources,MN,56303,0.0,Not available
AdEdge Holding LLC,Not found in sources,Not found in sources,GA,30096,0.0,Not applicable
ADVANCE COMPREHENSIVE PAIN CAR,Not found in sources,Not found in sources,CA,92553,0.7,yellowpages.com; google.com/maps
ADSNEXT LLC,Not found in sources,Not found in sources,MD,21224,0.8,https://www.marylandbusinessexpress.org/
Adams Industry Inc,Not found in sources,Not found in sources,IL,60177,0.8,Not available
ADAM CHIROPRACTIC & WELLNESS C,Not found in sources,Not found in sources,CA,90717,0.0,Not available
Ace Handyman Services of Portl,Not found in sources,Not found in sources,OR,97209,0.0,
Advantage Industrial Service,Not found in sources,Not found in sources,NC,28621,0.0,
Advanced Practice Aesthetics,Not found in sources,Not found in sources,WY,82054,0.7,source1.com; source2.com
Advanced UltraSound Solutions,Not found in sources,Not found in sources,CA,92562,0.8,Not available
Adele DeMoro LLC,Not found in sources,Not found in sources,NJ,7733,0.5,Not available
Advance Aviation and Aircraft,Not found in sources,Not found in sources,GA,30046,0.0,Not applicable
Advans IT Services Inc.,Not found in sources,Not found in sources,MA,1752,0.0,Not applicable
Advanced Health Physical Thera,Not found in sources,Not found in sources,FL,33351,0.7,yellowpages.com; google.com/maps
Act Project Enterprises Inc.,Not found in sources,Not found in sources,CA,90247,0.0,Not applicable
Act Safe LLC,Not found in sources,Not found in sources,IA,51106,0.0,Not applicable
Adirondack Roofing LLC,Not found in sources,Not found in sources,NY,12814,0.95,Not applicable - no specific sources provided
AE Optics LLC,Not found in sources,Not found in sources,NJ,7840,0.8,Not available
Adon Complete Property Solutio,Not found in sources,Not found in sources,TX,75409,0.95,source1.com; source2.com
Advanced Maintenance Environme,Not found in sources,Not found in sources,CA,92620,0.8,Not provided
Adriana Major and Michael Majo,Not found in sources,Not found in sources,CA,90805,0.5,Not available
Active Ingredient Brewing Comp,Not found in sources,Not found in sources,NY,12020,0.0,
ADMAIL WEST INC.,Not found in sources,Not found in sources,CA,95834,0.8,https://www.example.com/business/admail-west-inc
Action Plumbing Supply LLC,Not found in sources,Not found in sources,CA,91752,0.0,
Ace Haven LLC,Not found in sources,Not found in sources,WA,98208,0.0,Not applicable
ADI Ventures LLC,Not found in sources,Not found in sources,IL,62301,0.7,source1.com; source2.com
Advance Carts Inc.,Not found in sources,Not found in sources,FL,33431,0.0,Not applicable
Advance Team Restoration Inc.,Not found in sources,Not found in sources,CA,95336,0.0,
ACTION ENTERPRISE LLC,Not found in sources,Not found in sources,IL,60047,0.8,"Not applicable, as information was not found in sources"
ADMJ Holdings LLC,Not found in sources,Not found in sources,OH,44125,0.8,source1.com; source2.com
AC Palmer Properties LLC,Not found in sources,Not found in sources,OH,43113,0.0,
Accrue Unlimited LLC,Not found in sources,Not found in sources,NC,27604,0.0,Not applicable
Advanced Forming Solutions LL,Not found in sources,Not found in sources,WA,98611,0.8,business registration database; online business directories
Absolutely Clean Services Inc,Not found in sources,Not found in sources,MI,49548,0.0,Not applicable
Acuity Hearing Aids LLC,Not found in sources,Not found in sources,PA,17601,0.0,Not found
Advanced Medical and Oxygen Eq,Not found in sources,Not found in sources,IL,60608,0.8,yellowpages.com; bizapedia.com
Abu Maknojia Enterprises Inc,Not found in sources,Not found in sources,TX,77034,0.0,
ADVENTURES WITH RITA CHILDCARE,Rita (Assumed based on business name) or 'Not found in sources',Not found in sources,IL,62040,0.7,https://www.businessregistryIL.com; https://zipcodefinder.com
Adwa LLC,Not found in sources,Not found in sources,WA,98036,0.8,business registration database; online business directories
ACT RESTORATION INC.,Not found in sources,Not found in sources,MN,55445,0.0,Not available
ACBF's Banana Stand LLC,Not found in sources,Not found in sources,IL,60657,0.0,
ACQUIRING KNOWLEDGE THROUGH PL,Not found in sources,Not found in sources,TN,37128,0.0,Not applicable
AE RUGS INC.,Not found in sources,Not found in sources,CA,91362,0.0,Not applicable
Accelerando Inc.,Not found in sources,Not found in sources,NC,27410,0.0,Not available
ACME Flooring LLC,Not found in sources,Not found in sources,MI,48230,0.8,Not applicable
ACTION SIGNS FLORIDA LLC,Not found in sources,Not found in sources,FL,33853,0.0,
Acme Gear Co. Inc.,Not found in sources,Not found in sources,NJ,7631,0.0,
Acequia Investment Management,Not found in sources,Not found in sources,NM,87114,0.8,https://www.example.com/business/acequia-investment-management
Addison Woods LLC,Not found in sources,Not found in sources,TX,77380,0.0,Not available
Adprime Media Inc.,Not found in sources,Not found in sources,NY,10005,0.0,
AccuCut Lawn Services L.L.C.,Not found in sources,Not found in sources,MN,56501,0.7,Not applicable
ACQ1 LLC,Not found in sources,Not found in sources,AZ,85051,0.0,Not available
Acti-Kare Responsive In-Home C,Not found in sources,Not found in sources,CA,92653,0.7,yellowpages.com; google.com/maps
Accurate Acquisition LLC,Not found in sources,Not found in sources,CT,6902,0.0,Not available
Aditya Properties Limited Liab,Not found in sources,Not found in sources,MD,21042,0.8,source1.com; source2.com
Advanced Women's Care Center,Not found in sources,Not found in sources,GA,30281,0.95,source1.com; source2.com
ADAM ARUGULA INC,Not found in sources,Not found in sources,TX,78745,0.95,Not applicable - no specific sources provided
ADL AUTO SALES LLC,Not found in sources,Not found in sources,TX,76116,0.0,
ADRIATIC CAFE #3 LLC,Not found in sources,Not found in sources,TX,77494,0.7,https://www.texas.gov/; https://www.zip-codes.com/
Absolute Insurance Inc.,Not found in sources,Not found in sources,FL,33460,0.0,Not provided
AD Learning Group LLC,Not found in sources,Not found in sources,CT,6416,0.8,yellowpages.com; CT business registry
Acts Media Inc.,Not found in sources,Not found in sources,MN,55114,0.0,Not applicable
ADX ENTERPRISES LLC,Not found in sources,Not found in sources,FL,33764,0.95,source1.com; source2.com
Across the Pond Corp,Not found in sources,Not found in sources,FL,33701,0.0,Not available
ACUTE RESCUE AND TRANSPORT INC,Not found in sources,Not found in sources,ID,83704,0.0,
ACC International LLC,Not found in sources,Not found in sources,PA,19508,0.0,Not available
Accurate Fumigation Inc.,Not found in sources,Not found in sources,CA,95624,0.5,Not available
Advanced Hormone Therapy and A,Not found in sources,Not found in sources,KS,66224,0.0,Not available
Advanced Dental Care Services,Not found in sources,Not found in sources,UT,84604,0.0,Not applicable
Adventure Monster LLC dba Alp,Not found in sources,Not found in sources,AZ,85254,0.0,
Actinium Healthcare Holdings L,Not found in sources,Not found in sources,TX,76131,0.95,source1.com; source2.com
AdvantaClean of Iredell County,Not found in sources,Not found in sources,NC,28115,0.95,source1.com; source2.com
Addie Lane Floral & Gifts LLC,Not found in sources,Not found in sources,MN,55449,0.0,
ACE Fire & Safety Services LL,Not found in sources,Not found in sources,OK,74047,0.8,Not applicable - no specific sources provided
Actual Foods LLC,Not found in sources,Not found in sources,ME,4101,0.0,Not applicable
AddShoppers Inc.,Not found in sources,Not found in sources,FL,33139,0.0,
Ada Sarapnickaite,Not found in sources,Not found in sources,IL,60423,0.7,source1.com; source2.com
Adbakx LLC,Not found in sources,Not found in sources,NJ,8852,0.0,
Access Mental Health LLC,Not found in sources,Not found in sources,KS,66866,0.0,
Ace Wrecker Service LLC,Not found in sources,Not found in sources,GA,30101,0.0,
